Course No,Section,Instructor,Enrollment,Responses,Percent
AIP 197T,A00,"Wienhausen, Gabriele",8,2,25.00%
ANAR 113,A00,"Ben-Yosef, Erez",19,11,57.89%
ANAR 146,A00,"D'Alpoim Guedes, Jade A",39,17,43.59%
ANBI 100,A00,"Marchetto, Maria Carolina",25,23,92.00%
ANBI 134,A00,"Non, Amy L",30,16,53.33%
ANBI 135,A01,"Non, Amy L",11,7,63.64%
ANBI 159,A00,"Lew, Caroline Horton",45,25,55.56%
ANSC 100,A00,"Goodman, Yehuda Chaim",12,4,33.33%
ANSC 100,C00,"Jenkins, Janis A.",11,5,45.45%
ANSC 105,A00,"Saravia, Paula F",20,17,85.00%
ANSC 106,A00,"Olivas Hernandez, Olga Lid",39,14,35.90%
ANSC 118,A00,"Hauck, Jan",21,13,61.90%
ANSC 146,A00,"Kang, Byung Chu",40,22,55.00%
ANSC 148,A00,"Saravia, Paula F",88,74,84.09%
ANSC 175,A00,"Pedersen, David",33,12,36.36%
ANTH 101,A01,"Goldstein, Paul S",43,24,55.81%
ANTH 101,A02,"Goldstein, Paul S",48,27,56.25%
ANTH 101,A03,"Goldstein, Paul S",46,22,47.83%
ANTH 196A,A00,"Semendeferi, Ekaterini",13,4,30.77%
ANTH 21,A01,"Rothschild, Amy C",35,13,37.14%
ANTH 21,A02,"Rothschild, Amy C",36,17,47.22%
ANTH 21,A03,"Rothschild, Amy C",36,16,44.44%
ANTH 21,A04,"Rothschild, Amy C",36,18,50.00%
ANTH 21,A05,"Rothschild, Amy C",35,14,40.00%
ANTH 21,A06,"Rothschild, Amy C",34,18,52.94%
ANTH 21,B01,"Kang, Byung Chu",25,13,52.00%
ANTH 21,B02,"Kang, Byung Chu",30,20,66.67%
ANTH 21,B03,"Kang, Byung Chu",25,16,64.00%
ANTH 21,B04,"Kang, Byung Chu",25,13,52.00%
ANTH 21,B05,"Kang, Byung Chu",42,34,80.95%
ANTH 21,B06,"Kang, Byung Chu",25,16,64.00%
ANTH 21,B07,"Kang, Byung Chu",25,17,68.00%
ANTH 21,B08,"Kang, Byung Chu",25,17,68.00%
ANTH 21,B09,"Kang, Byung Chu",25,20,80.00%
ANTH 21,B10,"Kang, Byung Chu",22,13,59.09%
ANTH 21,B11,"Kang, Byung Chu",22,20,90.91%
ANTH 21,B12,"Kang, Byung Chu",23,15,65.22%
ANTH 23,A01,"Stewart, Alexander B",33,29,87.88%
ANTH 23,A02,"Stewart, Alexander B",22,14,63.64%
ANTH 23,A03,"Stewart, Alexander B",20,19,95.00%
ANTH 23,A04,"Stewart, Alexander B",22,20,90.91%
ANTH 23,A06,"Stewart, Alexander B",20,17,85.00%
ANTH 23,A07,"Stewart, Alexander B",20,17,85.00%
ANTH 23,A08,"Stewart, Alexander B",21,19,90.48%
ANTH 23,A09,"Stewart, Alexander B",20,18,90.00%
ANTH 23,A10,"Stewart, Alexander B",22,16,72.73%
ANTH 23,A11,"Stewart, Alexander B",32,29,90.63%
ANTH 23,A12,"Stewart, Alexander B",33,28,84.85%
ANTH 23,A13,"Stewart, Alexander B",32,28,87.50%
ANTH 23,A14,"Stewart, Alexander B",31,28,90.32%
ANTH 23,A15,"Stewart, Alexander B",32,30,93.75%
ANTH 23,A17,"Stewart, Alexander B",25,22,88.00%
ANTH 23,A18,"Stewart, Alexander B",24,17,70.83%
ANTH 3,A01,"Rivera-Collazo, Isabel C",66,47,71.21%
ANTH 87,A00,"Semendeferi, Ekaterini",17,13,76.47%
AWP 1,1,"Given, William Allan",13,12,92.31%
AWP 1,2,"Given, William Allan",14,12,85.71%
AWP 1,3,"Risvold, Ward Jay",13,13,100.00%
AWP 1,4,"Given, William Allan",13,13,100.00%
AWP 1,5,"Sheredos, Benjamin C",14,12,85.71%
AWP 1,6,"Sheredos, Benjamin C",13,13,100.00%
AWP 1,7,"Haugh, Megan Nicole",12,12,100.00%
AWP 1,8,"Haugh, Megan Nicole",12,10,83.33%
AWP 1,9,"Fitzgerald, Rachelle Aloys",12,12,100.00%
AWP 1,10,"Haugh, Megan Nicole",13,13,100.00%
AWP 1,11,"Fitzgerald, Rachelle Aloys",13,13,100.00%
AWP 1,12,"Fitzgerald, Rachelle Aloys",12,9,75.00%
AWP 1,13,"Ajo, Frances Margaret",13,6,46.15%
AWP 1,14,"Ajo, Frances Margaret",13,12,92.31%
AWP 1,15,"Eastin, Schuyler E.",12,12,100.00%
AWP 1,16,"Ajo, Frances Margaret",13,13,100.00%
AWP 1,17,"Eastin, Schuyler E.",11,9,81.82%
AWP 1,18,"Eastin, Schuyler E.",10,9,90.00%
AWP 1,19,"Sanders, Suzanne J",14,14,100.00%
AWP 1,20,"Sanders, Suzanne J",13,13,100.00%
AWP 1,21,"Miller, Alyssa R",12,10,83.33%
AWP 1,22,"Miller, Alyssa R",13,13,100.00%
AWP 1,23,"Sanders, Suzanne J",13,13,100.00%
AWP 1,24,"Miller, Alyssa R",11,11,100.00%
AWP 1,25,"Steinberg, Stacy A",13,10,76.92%
AWP 1,26,"Steinberg, Stacy A",14,14,100.00%
AWP 1,27,"Yong, Peter A",12,12,100.00%
AWP 1,28,"Steinberg, Stacy A",11,11,100.00%
AWP 1,29,"Oliveri, Vincent",12,12,100.00%
AWP 1,30,"Oliveri, Vincent",13,11,84.62%
AWP 1,31,"Krizovensky, Jaclyn A",12,12,100.00%
AWP 1,32,"Krizovensky, Jaclyn A",13,11,84.62%
AWP 1,33,"Hiebert, Patricia M",13,6,46.15%
AWP 1,34,"Krizovensky, Jaclyn A",12,10,83.33%
AWP 1,35,"Hiebert, Patricia M",10,7,70.00%
AWP 1,36,"Hiebert, Patricia M",13,12,92.31%
AWP 1,37,"Sheredos, Benjamin C",12,11,91.67%
AWP 1,38,"Tessier, Jillian Marie",13,13,100.00%
AWP 1,39,"Tessier, Jillian Marie",13,11,84.62%
AWP 1,40,"Coulter, Jane Elisabeth",13,13,100.00%
AWP 1,41,"Oliveri, Vincent",13,12,92.31%
AWP 1,42,"Gonzales, Paulina Margarita",13,12,92.31%
AWP 1,43,"Yong, Peter A",12,11,91.67%
AWP 1,44,"Yong, Peter A",11,10,90.91%
AWP 1,46,"Falcon, Jennifer A",13,12,92.31%
AWP 1,47,"Vaughn, Kelsey Sara",11,9,81.82%
AWP 1,48,"Chandler, Bailee Daniele",12,12,100.00%
AWP 1,49,"Babcock, Joseph Diliberto",13,11,84.62%
AWP 1,50,"Tessier, Jillian Marie",13,13,100.00%
AWP 1,51,"Twohig, Niall Ivan",13,13,100.00%
AWP 1,52,"Twohig, Niall Ivan",13,9,69.23%
AWP 2A,1,"Gocsik, Karen Marie",12,12,100.00%
AWP 2A,2,"Tsurska, Olena Anatoliyivn",15,14,93.33%
AWP 2A,3,"Tsurska, Olena Anatoliyivn",15,15,100.00%
AWP 2A,4,"Naylor, Lisa Diane",14,12,85.71%
AWP 2A,5,"Tsurska, Olena Anatoliyivn",14,13,92.86%
AWP 2A,6,"Naylor, Lisa Diane",14,14,100.00%
AWP 2A,7,"Naylor, Lisa Diane",15,12,80.00%
AWP 2A,8,"Chandler, Bailee Daniele",13,13,100.00%
AWP 2A,9,"Twohig, Niall Ivan",13,11,84.62%
AWP 2A,10,"Christie, Veronica Ann",15,13,86.67%
AWP 2A,11,"Christie, Veronica Ann",15,14,93.33%
AWP 2A,12,"Tiernan, Christa Michelle",14,14,100.00%
AWP 2A,13,"Christie, Veronica Ann",14,14,100.00%
AWP 2A,14,"Tiernan, Christa Michelle",15,14,93.33%
AWP 2A,15,"Tiernan, Christa Michelle",13,12,92.31%
AWP 2A,16,"Wilson, Natalie Ann",14,11,78.57%
AWP 2A,17,"Powers, Sarah Elizabeth",15,13,86.67%
AWP 2A,18,"Wilson, Natalie Ann",15,13,86.67%
AWP 2A,19,"Powers, Sarah Elizabeth",14,13,92.86%
AWP 2A,20,"Powers, Sarah Elizabeth",13,13,100.00%
AWP 2A,21,"Falcon, Jennifer A",15,15,100.00%
AWP 2A,22,"Falcon, Jennifer A",14,14,100.00%
AWP 2A,23,"Risvold, Ward Jay",14,14,100.00%
AWP 2A,24,"Risvold, Ward Jay",15,15,100.00%
AWP 2A,25,"Vaughn, Kelsey Sara",12,11,91.67%
AWP 2A,26,"Vaughn, Kelsey Sara",11,11,100.00%
AWP 2A,27,"Sartor, Alexandra",13,13,100.00%
AWP 2A,28,"Sartor, Alexandra",15,15,100.00%
AWP 2A,29,"Babcock, Joseph Diliberto",13,10,76.92%
AWP 2A,30,"Babcock, Joseph Diliberto",13,11,84.62%
AWP 2A,31,"Wilson, Natalie Ann",14,14,100.00%
AWP 2A,32,"Chandler, Bailee Daniele",12,10,83.33%
AWP 2B,2,"Bauer, Holly Jean",11,10,90.91%
BENG 110,A01,"Mc Culloch, Andrew Douglas",30,14,46.67%
BENG 110,A02,"Mc Culloch, Andrew Douglas",33,19,57.58%
BENG 110,B01,"Valdez-Jasso, Daniela",25,5,20.00%
BENG 110,B02,"Valdez-Jasso, Daniela",22,10,45.45%
BENG 119A,A01,"Wheeler, Bruce Christopher",4,1,25.00%
BENG 122A,A01,"Metallo, Christian Michael",30,9,30.00%
BENG 122A,A02,"Metallo, Christian Michael",31,9,29.03%
BENG 126A,A01,"Wheeler, Bruce Christopher",19,4,21.05%
BENG 127A,A01,"Wheeler, Bruce Christopher",10,0,0.00%
BENG 128A,A01,"Wheeler, Bruce Christopher",6,2,33.33%
BENG 134,A01,"Coleman, Todd Prentice",19,8,42.11%
BENG 134,A02,"Coleman, Todd Prentice",13,10,76.92%
BENG 135,A00,"Wheeler, Bruce Christopher",19,3,15.79%
BENG 141,A00,"Lal, Ratnesh",32,29,90.63%
BENG 147A,A01,"Wheeler, Bruce Christopher",7,2,28.57%
BENG 148A,A01,"Wheeler, Bruce Christopher",8,3,37.50%
BENG 149A,A01,"Wheeler, Bruce Christopher",1,0,0.00%
BENG 161A,A01,"Fraley, Stephanie I.",31,23,74.19%
BENG 161A,A02,"Fraley, Stephanie I.",36,32,88.89%
BENG 162,A01,"Mali, Prashant Gulab Ram",33,29,87.88%
BENG 162,A02,"Mali, Prashant Gulab Ram",33,28,84.85%
BENG 166A,A00,"Sah, Robert Lie-Yuan",71,42,59.15%
BENG 169A,A01,"Wheeler, Bruce Christopher",14,3,21.43%
BENG 179A,A01,"Wheeler, Bruce Christopher",58,7,12.07%
BENG 183,A00,"Zhong, Sheng",73,28,38.36%
BENG 187B,A00,"Wheeler, Bruce Christopher",130,32,24.62%
BENG 193,A00,"Engler, Adam J.",26,9,34.62%
BENG 2,A00,"Wheeler, Bruce Christopher",19,12,63.16%
BENG 87,A00,"Mc Culloch, Andrew Douglas",19,14,73.68%
BENG 87,A00,"Omens, Jeffrey Howard",19,14,73.68%
BIBC 100,A01,"Huffaker, Alisa",32,14,43.75%
BIBC 100,A02,"Huffaker, Alisa",31,12,38.71%
BIBC 100,A03,"Huffaker, Alisa",31,13,41.94%
BIBC 100,A04,"Huffaker, Alisa",32,13,40.63%
BIBC 100,A05,"Huffaker, Alisa",22,17,77.27%
BIBC 100,A06,"Huffaker, Alisa",23,10,43.48%
BIBC 100,A07,"Huffaker, Alisa",31,11,35.48%
BIBC 100,A08,"Huffaker, Alisa",26,13,50.00%
